,port_id ,municipality_code ,municipality_name ,port_name ,longitude,latitude
114,27007,27004,CENTRO,VILLAHERMOSA,-92.9423,18.0152
115,27008,27003,CENTLA,TABASQUILLO,-92.6808,18.374
116,28001,28022,MATAMOROS,EL MEZQUITAL,-97.4228,25.2346
117,28002,28035,SAN FERNANDO,BOCA CIEGA,-97.5311,25.0033
118,28003,28035,SAN FERNANDO,EL CARBAJAL,-97.7412,24.5
119,28004,28037,SOTO LA MARINA,BOCA DE JESUS MARIA ,-97.6831,24.4783
120,28005,28037,SOTO LA MARINA,LA PESCA,-97.7699,23.783
121,28006,28002,ALDAMA,BARRA DEL TORDO,-97.7627,23.0566
122,28007,28003,AL TAMIRA,ALTAMIRA,-97.8835,22.4882
123,28008,30133,PUEBLO VIEJO,TAMPICO,-97.8152,22.2493
124,30001,30039,COATZACOALCOS ,COATZACOALCOS ,-94.4097,18.1458
125,30002,30189,TUXPAN,TUXPAN,-97.3326,20.9603
126,30003,30193,VERACRUZ,VERACRUZ,-96.131,19.206
127,30004,30011,ALVARADO,ALVARADO,-95.766,18.7673
128,30005,30011,ALVARADO,ANTON LIZARDO,-95.9829,19.0654
129,30006,30141,SAN ANDRES TUXTLA ,BALZAPOTE,-95.0681,18.6224
130,30007,30189,TUXPAN,BARRA DE GALINDO,-97.3274,21.0181
131,30008,21001,ACAJETE,BOCA DEL RIO,-96.1014,19.1011
132,30009,30033,CAZONES DE HERRERA ,CAZONES,-97.2001,20.7253
133,30010,30151,TAMIAHUA,ISLA LOBOS,-97.2306,21.463
134,30011,30108,MINATITLAN ,MINATITLAN ,-94.5366,17.9757
135,30012,30048,COSOLEACAQUE ,NANCHITAL,-94.4145,18.0762
136,30013,30114,NAUTLA,NAUTLA,-96.7846,20.2384
137,30014,30039,COATZACOALCOS ,PAJARITOS ,-94.3998,18.1281
138,30015,30151,TAMIAHUA,TAMIAHUA-BARRA DE CORAZONES ,-97.4374,21.2603
139,30016,30158,TECOLUTLA,TECOLUTLA,-97.0162,20.4743
140,30017,30178,TLACOTALPAN ,TLACOTALPAN ,-95.6576,18.6101
141,30018,30028,BOCA DEL RIO ,BOCA DEL RIO,-96.1037,19.0992
142,30019,30028,BOCA DEL RIO ,EL CONCHAL BOCA DEL RIO,-96.1029,19.0972
143,30020,30028,BOCA DEL RIO ,VILLA RICA BOCA DEL RIO,-96.1122,19.0848
144,31001,31011,CELESTUN ,CELESTUN ,-90.407,20.848
145,31002,31038,HUNUCMA,SISAL,-90.0492,21.163
146,31003,31059,PROGRESO,CHUBURNA,-89.8448,21.2482
147,31004,31059,PROGRESO,YUKALPETEN,-89.7024,21.2749
148,31005,31059,PROGRESO,PROGRESO,-89.6767,21.3371
149,31006,31083,TELCHAC PUERTO ,TELCHAC,-89.309,21.3395
150,31007,31106,YOBAIN ,CHABIHAU ,-89.1442,21.3551
151,31008,31028,DZILAM DE BRAVO ,DZILAM DE BRAVO ,-88.8801,21.3963
152,31009,31065,SAN FELIPE ,SAN FELIPE,-88.2312,21.5684
153,31010,31061,RIO LAGARTOS ,RIO LAGARTOS,-88.1607,21.5995
154,31011,31096,TIZIMÍN,EL CUYO ,-87.6866,21.5185
155,31012,31061,RIO LAGARTOS ,LAS COLORADAS ,-87.9985,21.612
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
